Full Name,unicode
Johan Djourou,G2VFOFOq
Felipe,MHqM9F24
Jasmin Kurtic,E57MEmuc
Federico Viviani,S6S7QlPd
Kevin Bonifazi,SE59rbUO
Thiago Rangel Cionek,fRO0h43f
Filippo Costa,YFl53g01
Manuel Lazzari,WlqJxlIT
Vanja Milinkovic-Savic,Mw0wd0xM
Simone Missiroli,Y5Cbvie4
Alberto Paloschi,SOFsTI8E
Andrea Petagna,MRq91oVQ
Mirko Valdifiori,dbEK1VwD
Mattia Valoti,vPBB8Jle
Francesco Vicari,joCeChcm
Mohamed Fares,t8U3WXeP
Alfred Gomis,MP4Bgvzf
Everton Luiz,MTIDsrS0
Mirco Antenucci,CEWfev5a
Lorenzo Dickmann,d8G4xPEs
Sergio Floccari,O0f62dlN
Gabriele Moncini,dSlBQwJe
Giacomo Poluzzi,SMgpBuOO
Pasquale Schiattarella,lrdFztC0
Lorenco Simic,06bhesUc
Mattia Vitale,WSsjDdgq
Ricardo Kishna,tYei1mvA
Dusan Basta,xhCxZ2yB
Alessandro Rossi,Qg9KL2uq
Davide Marfella,2aYXA7bO
Marco Alia,hrzUhb0s
Sergio Kalaj,4AXvWzji
Mauro Zitelli,lEkaiXS5
Caleb Okoli,SxMtt15B
Grigoris Kastanos,pK1EjnC1
Andreas Cornelius,CCv6fske
Joao Pedro Piai,nal7lTJb
Cesare Prandelli,ATsz9yWE
Andrea Favilli,xlic3PnN
Oscar Hiljemark,GIN8voK9
Domenico Criscito,xldYmKAG
Christian Kouame,6ZevPMzQ
Darko Lazovic,4QATUtMO
Lukas Lerager,GrCo5km3
Pedro Pereira,8t5OxIB9
Ivan Radovanovic,8hGhaqDI
Ionut Radu,4xYjfkEG
Esteban Rolon,W2nL6Pxt
Cristian Gabriel Romero,jBZTWXMn
Antonio Sanabria,jNePUJ0b
Ervin Zukanovic,OtjgfiK3
Goran Pandev,xrTxNoe7
Stefano Sturaro,d8xCwkbI
Miguel Veloso,UgoQDjlg
Daniel Bessa,hYvHeTBB
Davide Biraschi,xbr7uc5g
Nicola Dalmonte,jcWKCztM
Koray Gunter,x0tbcU7L
Jandrei,ABfsgjSO
Gianluca Lapadula,K0nUrV5K
Federico Marchetti,nLrzrjb2
Luca Mazzitelli,0zd8jKI5
Giuseppe Pezzella,zJD6Mdr3
Pablo Moreno,SCY5bSwd
Hans Nicolussi Caviglia,rJcy0auH
Federico Peluso,jidHU8JN
Merih Demiral,MRw4A5FO
Giacomo Raspadori,GlZEnTQr
Leonardo Sernicola,xIUCaSh4
Andrea Ghion,dxb0x43T
Jens Odgaard,xbCDeKRm
Giacomo Satalino,d2BR3Upb
Sinisa Mihajlovic,QVYrB9zG
Simone Edera,WpaM6lSp
Arturo Calabresi,dMiNmDpr
Godfred Donsah,tlEr2vRb
Diego Falcinelli,tCvX7iBP
Geancarlo Gonzalez,Ee4dpTuO
Ladislav Krejci,n5GNCVot
Lyanco,6J71R9jG
Adam Nagy,lpbxLFLT
Riccardo Orsolini,bRV808wb
Erick Pulgar,d2HDH1YH
Nicola Sansone,8xArOHfB
Lukasz Skorupski,SYbhvYs3
Nehuen Paz,rBRql3K6
Andrea Poli,06BSgd70
Juan Valencia,Kfwz53ZI
Angelo da Costa,l6KgO8nK
Danilo,2aAFmtDN
Mitchell Dijks,zmLEzlWR
Blerim Dzemaili,SpFvai3t
Filip Helander,QkFFVI0J
Ibrahima Mbaye,nkcqMWLa
Rodrigo Palacio,AgQ2rkz7
Federico Santander,vXpNSnxt
Roberto Soriano,KEdDR3M7
Riccardo Sottil,rkQyXmLB
Dusan Vlahovic,Ct0rhfn7
Lucas Paqueta,SruRBYZP
Krzysztof Piatek,ttGoQLlI
Matteo Soncin,WM01WYLt
Mattia Del Favero,Ao7lnwdO
Matheus Pereira,SYXL5EpQ
Simone Muratore,2cocYcV8
Walter Mazzarri,IsT5KMkE
Koffi Djidji,EoDBiY3d
Iago Falque,U9NSHM06
Emiliano Moretti,p4EL2sPs
Vittorio Parigini,rT6KVr8J
Cristian Ansaldi,K8XQexVC
Andrea Belotti,W6UTbSDR
Alex Berenguer,nuQn903r
Bremer,INWVBb0R
Lorenzo De Silvestri,A9WpvRff
Armando Izzo,OrlLWHno
Sasa Lukic,nwu2UvUA
Soualiho Meite,Kvd8h5z7
Nicolas N'Koulou,Qkptlkyf
Tomas Rincon,YDUMMZWp
Salvatore Sirigu,A3ywEtVi
Ola Aina,O28OebFA
Daniele Baselli,nmCTZrFD
Simone Zaza,v7gdgsPR
Vitalie Damascan,2mri5pHj
Salvador Ichazo,zwNTLilR
Vincenzo Millico,nabu3veH
Antonio Rosati,GSS7x8Qa
Wilfried Singo,Ym8dZot0
Nicolo Fagioli,4rFy4PRQ
Jorge Filipe Soares Silva,0hcwAJ0p
Ludovico D'Orazio,AN0k3Xoh
Rolando Maran,lb1XFX3n
Nicolo Barella,W0yrjzz2
Lucas Castro,CAe0xYDU
Charalampos Lykogiannis,hxdzXUCO
Filip Bradaric,bFspJbqT
Luca Ceppitelli,ARUkhedr
Alberto Cerri,IBUaxPl6
Alessio Cragno,ENDYjGK9
Paolo Farago,04PSpODJ
Diego Farias,rDyTOARm
Artur Ionita,E59pt6lE
Joao Pedro,z9cTLJN5
Ragnar Klavan,l2KDCxTO
Simone Padoin,QioD60Ko
Darijo Srna,jeS7vRI7
Luca Cigarini,lfpEEa5J
Marko Pajac,xUeslJX2
Marco Sau,I9Np9B5T
Marco Andreolli,UNWDTz6l
Simone Aresti,lEryqEb2
Daniele Dessena,YRLp9wTt
Riccardo Doratiotto,vDafArRg
Leonardo Pavoletti,xrQ22VYn
Fabio Pisacane,AweRIpPk
Rafael,OrM1uurD
Filippo Romagna,ILuvGx81
Francesco Verde,bZcD6Ju1
Ivan Juric,4IdjsvY2
Nicolas Spolli,d8PdGt3o
Stephane Omeonga,08sEkyhN
Ivan Lakicevic,KYyXUnFS
Lisandro Lopez,KOBHwYGc
Iuri Medeiros,xblMKCRr
Alessandro Russo,MLQScsMb
Rok Vodisek,dzsWx4qB
Andras Schafer,8GBj8NFA
Alessandro D'Andrea,tjXyARDU
Julio Velazquez,OAr8sa7j
Svante Ingelsson,GQvYyHe4
Darwin Machis,nBtLrBRF
Simone Scuffet,0nQhrI82
Nicholas Opoku,OjGZuWFJ
Molla Wague,2JJel8HF
Andrija Balic,0OPG7uS0
Felipe Vizeu,EuobphRH
Simone Pontisso,U9OaTpd7
Hidde ter Avest,KnarKxcq
Yann Karamoh,OQYJ3VXT
M'Baye Niang,hbNBiofd
Adem Ljajic,hWtRCbq7
Claudio Ranieri,zFLwLRZS
Erick Ferigra,AVWeagnD
Fabrizio Cacciatore,r5uEHrOh
Valter Birsa,WQ5BU8tF
Kiril Despodov,K65JvHKa
Nunzio Lella,8EOkxnms
Maxime Leverbe,nwwhljSI
Edgar Barreto,zqxzAEd5
Raoul Bellanova,6BgYlqqU
Dawid Kownacki,tdzULTXb
Marco Baroni,S8Ygn9ME
Lorenzo Ariaudo,b59iH623
Federico Dionisi,6P1K05Ok
Paolo Ghiglione,Im8vPlLt
Marco Capuano,raXy4HIm
Francesco Cassata,YTuQ6xad
Raman Chibsah,OQQmwLhA
Camillo Ciano,hf9a05fD
Daniel Ciofani,lE6KSRGJ
Edoardo Goldaniga,CxCzIfHK
Cristian Molinaro,WdOJMccT
Bartosz Salamon,I3UbRqwl
Marco Sportiello,EiVDoV04
Francesco Zampano,SAVw0168
Mirko Gori,bFNbSfme
Luca Paganini,YsayVOQn
Andrea Pinamonti,O4qi5hfc
Andrea Beghetto,QHPgXTv2
Niccolo Brighenti,ULlJRUuq
Alessandro Iacobucci,4puil5Gt
Luka Krajnc,KCBTTJPh
Raffaele Maiello,M9Jn9Zm9
Giuseppe Marciano,QTH5urOp
Paolo Sammarco,4hoV7Fy0
Marcello Trotta,pMrqvGHt
Stefano Greco,6kMXTAGg
Michel Adopo,thWJbHFE
Joel Campbell,fLAH2TtR
Luca Matarese,djcZZOip
Emmanuel Besea,tfREVLlP
Francesco Verde,tQxPcl6U
Vincenzo Montella,vcAWhGM6
Nicky Beloko,hlPaPHeS
Simone Ghidotti,fTynsh49
Martin Graiciar,0ESAGwXM
Stephy Mavididi,8brKvGTe
Jurgen Klopp,x6CvOHH9
Adrian,CEm70uDg
Harvey Elliott,nBSzcorC
Fabinho,nqldMgYf
Curtis Jones,OnQz9w8h
Divock Origi,jeRaNgKg
Nathaniel Phillips,bHnuxZoS
Virgil van Dijk,U59RNqOr
Trent Alexander-Arnold,CEVJy6Bc
Alisson,UZrQ3bwP
Diogo Jota,lr5I22zF
Naby Keita,4MB78NvI
Ibrahima Konate,QJlbDbQe
Sadio Mane,xxskxOU0
Joel Matip,tpHWp8Am
James Milner,QLY3kAEt
Tyler Morton,40d4JF8O
Andrew Robertson,6e7Be9VI
Mohamed Salah,08FBycgB
Roberto Firmino,CCNtplZe
Joe Gomez,SKt9dxk8
Konstantinos Tsimikas,SEyNdMro
Kaide Gordon,UBYcgYhP
Caoimhin Kelleher,4S8JqWN0
Takumi Minamino,hIwtloy3
Alex Oxlade-Chamberlain,WzNLf7VR
Jarell Quansah,KtIpCeFE
Neco Williams,YVxu86Hs
Antonio Conte,23vSAc12
Bryan Gil,xSXBYlvl
Dane Scarlett,2Vp8O43o
Dele Alli,Q5eERh3a
Ben Davies,65AlIpKT
Eric Dier,MXQtjBQt
Emerson Royal,zBkSUAjf
Harry Kane,v5HSlEAa
Hugo Lloris,dlT4erCr
Tanguy Ndombele,GEIWE1pD
Davinson Sanchez,dbPhv0VQ
Ryan Sessegnon,WOecsPmi
Heung-Min Son,Mgg9oPeM
Harry Winks,MRebAusr
Lucas Moura,EcmXnnoo
Sergio Reguilon,l0lnJteM
Oliver Skipp,KnBBxnVu
Brandon Austin,EHOfteWD
Steven Bergwijn,Kdj2xxJR
Matt Doherty,KC9KwhwI
Giovani Lo Celso,UZeyLfKI
Joe Rodon,vskyBpSR
Japhet Tanganga,SC4ftpKU
Ole Gunnar Solskjaer,bmlavhkb
Amad Diallo,I5Rhq1WL
Anthony Martial,GrS6Vr75
Paul Pogba,MTNGv0hT
Edinson Cavani,Qgx2trzH
David de Gea,d6AEQ6OD
Bruno Fernandes,GYvAMDm2
Fred,2kuP6src
Victor Lindelof,OIp0Le1f
Harry Maguire,xG8v3YRA
Scott McTominay,A7S3y397
Luke Shaw,88iLXV0O
Raphael Varane,t20vQIvC
Aaron Wan-Bissaka,faGmGOOh
Jesse Lingard,xpqeeiSB
Nemanja Matic,Kty10JVG
Marcus Rashford,COnT2Lh0
Eric Bailly,G8VcNrxU
Diogo Dalot,rZZKJVOS
Mason Greenwood,hxe108Jl
Dean Henderson,OpFOJojt
Jadon Sancho,n5mG9yn6
Donny van de Beek,bs2gvblF
Nuno Espirito Santo,IoJ2QpOs
Pierre-Emile Hojbjerg,ITwS8wMo
Steven Gerrard,SErvzq6h
Leon Bailey,Mc0XPojG
Kortney Hause,6a58WqCq
Ezri Konsa,4CQLQWTa
Emiliano Martinez,ziCcc5jM
Emiliano Buendia,dYDvGYIu
Matty Cash,hfxPh7Kn
Calum Chambers,6u93gyCG
Philippe Coutinho,QP6r8H7O
Lucas Digne,v9Ux4sua
Douglas Luiz,IZxlmmuF
John McGinn,rgGnzD2e
Tyrone Mings,x6Gedmgl
Jacob Ramsey,URZH6b4K
Ollie Watkins,rHnOkDD8
Danny Ings,S0QG044b
Marvelous Nakamba,65UtRvy3
Ashley Young,tdmI0fpF
Benjamin Chrisene,rR57HeVt
Carney Chukwuemeka,tpQg2gso
Tim Iroegbunam,zJaAPxhF
Morgan Sanson,n5LaWeHr
Viljami Sinisalo,zqRkeKv7
Bertrand Traore,MwckEcbf
Pep Guardiola,hxNijWrJ
Ruben Dias,OpVD3nmU
Benjamin Mendy,hG01CF6F
Kevin De Bruyne,MsPs6OI5
Ederson,UDODA71I
Fernandinho,2JwK7ZfJ
Phil Foden,E7XjDJns
Gabriel Jesus,viMb6g9n
Aymeric Laporte,SYnaB65s
Riyad Mahrez,AkzHA2kB
Rodri,K0G8DB00
Bernardo Silva,lUg03qcR
John Stones,SlLxn4xl
Ilkay Gundogan,hCQ7jhL3
Raheem Sterling,pfm9avwi
Oleksandr Zinchenko,MwSCTKq6
Nathan Ake,6LBvaQoh
Scott Carson,CxgywZ8L
Jack Grealish,QVKaRfO9
James McAtee,zwOgsDSc
Cole Palmer,h8agbDt7
Kyle Walker,QeLg6KGD
Mike Jackson,llXzwSxL
Johann Berg Gudmundsson,QeVsocvb
Ben Mee,SzUQvQ7r
Erik Pieters,p21JPDFB
Ashley Westwood,Gd5hqV7h
Josh Brownhill,lQXKv2sA
Nathan Michael Collins,4AmU39Qm
Jack Cork,tnl7ejng
Maxwel Cornet,IuMQIrXk
Dwight McNeil,2sHSjL7k
Nick Pope,QyhUrIXl
Connor Roberts,SlheWi73
Jay Rodriguez,jky1arTn
James Tarkowski,Mu9cCtLo
Charlie Taylor,l0KDp6Mp
Wout Weghorst,tpWMDFoL
Aaron Lennon,WGObx1iE
Matthew Lowton,v509La2R
Matej Vydra,8Ewuow5i
Phillip Bardsley,bDmUiRg3
Ashley Barnes,zk96WOb5
Dara Costelloe,j9vhVBnj
Wayne Hennessey,jmI3ipF8
Kevin Long,AH6Dnzt9
Dale Stephens,bkSCjxaC
Ralph Hasenhuttl,f3ddUIXs
Alex McCarthy,WIqv3LGU
Stuart Armstrong,bNMGoy7K
Jan Bednarek,l4MMmL5S
Armando Broja,0rnu9an9
Mohamed Elyounoussi,jmod3iU2
Fraser Forster,SWLt6Trt
Romain Perraud,l6FMek3E
Oriol Romeu,WCC5IrWg
