Full Name,unicode
Tommy Oar,MR0Gwwka
Matthew Spiranovic,pGU5gT2L
Adam Taggart,lju8c2nj
James Troisi,zcPl47Dh
Dario Vidosic,jHycekY8
David Villa,MsTOnBQS
Alex Wilkinson,MHoaXl2B
Bailey Wright,IJiwau6C
Asmir Avdukic,jVrS2C70
Jasmin Fejzic,SIUyQWpd
Anel Hadzic,WW6ZgLen
Senijad Ibricic,YXrUlN02
Haris Medunjanin,CU2eFWNu
Zvjezdan Misimovic,noCWwjJF
Mensur Mujdza,CdkJSd4F
Emir Spahic,hn5iSObs
Toni Sunjic,be0yGisL
Safet Susic,vXVNtTpp
Tino-Sven Susic,YNwkOEEF
Ognjen Vranjes,6HTVNHm8
Avdija Vrsajevic,GhlFnOxn
Brayan Beckeles,xvy7DRHA
Jerry Bengtson,UcFXFGYk
Victor Bernardez,M5mP8tWJ
Marvin Chavez,W0t9vTaO
Osman Chavez,fNFs1unE
Jorge Claros,2qNznP62
Carlos Costly,hzZVcj0n
Edder Delgado,dMKqNuU1
Roger Espinoza,pCWwr6qU
Maynor Figueroa,nwnFbvdC
Boniek Garcia,4rdSelx4
Juan Garcia,K8VNtB0a
Luis Garrido,YLJrB6Zp
Emilio Izaguirre,OK2FZZVO
Mario Martinez,p6qQKqbD
Ronald Martinez,vslUx5rf
Juan Montes,CSvcVxio
Jerry Palacios,67OOb763
Luis Fernando Suarez,OtJkCOOt
Noel Valladares,l2A2xxn6
Sammy Bossut,nVePjWlD
Laurent Ciman,8fPQN1Ab
Nicolas Lombaerts,W4MDHf6E
Daniel van Buyten,8C2cfGEF
Anthony Vanden Borre,OtheNZfk
Marc Wilmots,McmrrMmS
Nikica Jelavic,ney22TbN
Ivica Olic,ET96f8sG
Stipe Pletikosa,vg0BgDIj
Danijel Pranjic,dIUb3Ae8
Sammir,byACMXRQ
Gordon Schildenfeld,2J3SANOt
Ognjen Vukojevic,4zUwumle
Oliver Zelenika,YFgRn6Kd
Jozy Altidore,rmICnKwU
Wilson Palacios,nZJlkCTL
Boubacar Barry,6Dsf4Lob
Arthur Boka,YJZxNaP9
Wilfried Bony,INXcXK3r
Constant Djakpa,jHiXkwgm
Didier Drogba,2mm76ep2
Sylvain Gbohouo,SIkSpwXq
Sayouba Mande,KQyD7AyP
Giovanni Sio,4OJusCu9
Ismael Tiote,pUvaM0Ks
Kolo Toure,Gd8Ix5AB
Ousmane Viera,lUAlHBtk
Didier Ya Konan,nNRbu1Pi
Tranquillo Barnetta,dfvfwnPh
Ottmar Hitzfeld,0f4oXiWm
Gokhan Inler,Igvz54ok
Philippe Senderos,fm7MyPPH
Reto Ziegler,nmcYCKaK
Jean Beausejour,U1c3XzWe
Tim Cahill,WzcKlauG
Carlos Carmona,v1Ync0zm
Marcelo Diaz,Shz8Udxj
Eduardo Vargas,zPqz7CNT
Jose Fuenzalida,WjgTClt8
Felipe Gutierrez,dGNzC3kp
Johnny Herrera,vV8JqcXF
Mauricio Isla,z1sACHIo
Gonzalo Jara,jTiugHLB
Eugenio Mena,4dXtbGKA
Esteban Paredes,r3lHb6zC
Mauricio Pinilla,jc94efJk
Jose Rojas,08VLvUCI
Francisco Silva,zaQCzfIp
Cristopher Toselli,lKTl9fO4
Valdivia,2mm67aMn
Angelis Angeli Charalampous,xYNSPvIe
Marios Antoniadis,O4tC7TYb
Kostakis Artymatas,GtLbef1E
Andreas Avraam,C6jvRCse
Bekim Balaj,t4HyQrX5
Ervin Bulku,nL4gGPBA
Lorik Cana,rHV5TovO
Kostas Charalambidis,40ewS4ns
Elias Charalambous,zPD0YF5G
Jason Demetriou,YFizShSl
Dossa Junior,GxmBNVBK
Shkelzen Gashi,hfsfqdX0
Antonis Georgallides,nFJWBETj
Jahmir Hyka,OppMo7Ck
Ergys Kace,bsoYufVo
Anastasios Kissas,QDlWCHX0
Charalampos Kyriakou,vsBUjKB5
Vincent Laban,Cxenuh5G
Ermir Lenjani,WEBCtE12
Andi Lila,O6ZgKwy3
Sabien Lilaj,KIcvR241
Christos Mastrou,Sf74YqiL
Alban Meha,QyBjpwIL
Agon Mehmeti,nklLMFo9
Lefteris Mertakkas,QT1jw3EH
Nestor Mytidis,Uc73rjjF
Marios Nikolaou,IXzDXZKM
Tefik Osmani,d2aZu1bl
Kyriakos Pavlou,KlN3jyjc
Valdet Rama,pI98ABPR
Odise Roshi,CbWFQSpI
Hamdi Salihi,EcLx6Bab
Orges Shehi,vsXMtsqr
