Venue,City,Team,Capacity
VEB Arena,Moscow,CSKA Moscow,30 457
Stadion Partizana,Belgrade,Partizan,29 775
Ljudski vrt,Maribor,Maribor,12 994
Astana Arena,Astana,FC Astana,30 244
Lotto Park,Anderlecht,Anderlecht,22 500
Volksparkstadion,Hamburg,Hamburger SV,57 274
Heinz-von-Heiden-Arena,Hannover,Hannover,49 200
Merkur Spiel-Arena,Düsseldorf,Dusseldorf,54 600
Stadion An der Alten Försterei,Berlin,WinnerUnion Berlin,22 012
Max-Morlock-Stadion,Nuremberg,Nurnberg,44 308
Dreisamstadion,Freiburg,Freiburg,24 000
Home Deluxe Arena,Paderborn,Paderborn,15 000
Toumba Stadium,Thessaloniki,PAOK,28 701
Aker Stadion,Molde,Molde,11 249
Basaksehir Fatih Terim Stadium,Istanbul,Basaksehir,17 156
Neo GSP Stadium,Nicosia,Omonia,22 859
Puskás Aréna,Budapest,Liverpool,67 215
Puskás Aréna,Budapest,RB Leipzig,67 215
Estadio Ramón Sánchez Pizjuán,Sevilla,Chelsea,42 714
Bloomfield Stadium,Tel-Aviv,Maccabi Tel Aviv,29 400
Estádio do Dragão,Porto,Manchester City,50 033
Arena Nationala,Bucharest,Atl. Madrid,55 634
KAA Gent Arena,Gent,Gent,20 175
Puskás Aréna,Budapest,B. Monchengladbach,67 215
MCH Arena,Herning,Midtjylland,11 432
Estadio Ramón Sánchez Pizjuán,Sevilla,FC Porto,42 714
MCH Arena,Herning,WinnerMidtjylland,11 432
Power Horse Stadium,Almería,Almeria,17 400
