2024-07-21 18:11:07.084 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '43'
2024-07-21 18:11:10.875 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2023%E2%80%9324_US_Sassuolo_Calcio_season'WHERE ID = 43
2024-07-21 18:11:14.251 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '44'
2024-07-21 18:11:16.648 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Lee_Mason'WHERE ID = 44
2024-07-21 18:11:20.050 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '45'
2024-07-21 18:11:23.006 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Simon_Hooper'WHERE ID = 45
2024-07-21 18:11:28.476 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Danny_Makkelie', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Danny_Makkelie_EURO_2020.jpg/180px-Danny_Makkelie_EURO_2020.jpg' WHERE ID = 46
2024-07-21 18:11:33.113 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '47'
2024-07-21 18:11:37.744 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Irfan_Peljto'WHERE ID = 47
2024-07-21 18:11:41.020 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Willie_Collum', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Willie_Collum_2017.jpg/120px-Willie_Collum_2017.jpg' WHERE ID = 48
2024-07-21 18:11:45.383 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '49'
2024-07-21 18:11:49.385 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Jo%C3%A3o_Pinheiro_(referee)'WHERE ID = 49
2024-07-21 18:11:53.138 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Cl%C3%A9ment_Turpin', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Cl%C3%A9ment_Turpin_2016_%28cropped%29.jpg/150px-Cl%C3%A9ment_Turpin_2016_%28cropped%29.jpg' WHERE ID = 50
2024-07-21 18:11:57.549 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Slavko_Vin%C4%8Di%C4%87', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Slavko_Vincic.jpg/120px-Slavko_Vincic.jpg' WHERE ID = 51
2024-07-21 18:12:00.545 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Ivan_Kru%C5%BEliak', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Ivan_Kru%C5%BEliak%2C_CZE-NIR_2019-10-14_%282%29.jpg/150px-Ivan_Kru%C5%BEliak%2C_CZE-NIR_2019-10-14_%282%29.jpg' WHERE ID = 52
2024-07-21 18:12:03.490 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Carlos_del_Cerro_Grande', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3658_by_Stepro.jpg/90px-2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3658_by_Stepro.jpg' WHERE ID = 53
2024-07-21 18:12:06.721 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '54'
2024-07-21 18:12:09.036 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Sr%C4%91an_Jovanovi%C4%87_(referee)'WHERE ID = 54
2024-07-21 18:12:13.199 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Szymon_Marciniak', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/SzymonMarciniakReferee.jpg/150px-SzymonMarciniakReferee.jpg' WHERE ID = 55
2024-07-21 18:12:17.507 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Istv%C3%A1n_Kov%C3%A1cs_(referee)', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Istv%C3%A1n_Kov%C3%A1cs_referee.jpg/150px-Istv%C3%A1n_Kov%C3%A1cs_referee.jpg' WHERE ID = 56
2024-07-21 18:12:21.781 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Artur_Soares_Dias', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Artur_Soares_Dias_2016.jpg/220px-Artur_Soares_Dias_2016.jpg' WHERE ID = 57
2024-07-21 18:12:25.965 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '58'
2024-07-21 18:12:30.338 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2023_UEFA_European_Under-21_Championship'WHERE ID = 58
2024-07-21 18:12:35.366 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Istv%C3%A1n_Vad', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Austria_vs._USA_2013-11-19_%28056%29.jpg/150px-Austria_vs._USA_2013-11-19_%28056%29.jpg' WHERE ID = 59
2024-07-21 18:12:38.951 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Felix_Zwayer', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Fu%C3%9Fballl%C3%A4nderspiel_%C3%96sterreich-Ukraine_%2801.06.2012%29_43.jpg/150px-Fu%C3%9Fballl%C3%A4nderspiel_%C3%96sterreich-Ukraine_%2801.06.2012%29_43.jpg' WHERE ID = 60
2024-07-21 18:17:47.586 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Gianluca_Rocchi', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Gianluca_Rocchi.jpg/150px-Gianluca_Rocchi.jpg' WHERE ID = 1
2024-07-21 18:17:58.484 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Paolo_Mazzoleni', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Paolo_Silvio_Mazzoleni.jpg/180px-Paolo_Silvio_Mazzoleni.jpg' WHERE ID = 4
2024-07-21 18:18:08.698 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Daniele_Orsato', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Daniele_Orsato_2016_%28cropped%29.jpg/120px-Daniele_Orsato_2016_%28cropped%29.jpg' WHERE ID = 7
2024-07-21 18:18:11.637 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Marco_Di_Bello', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Marco_di_bello.jpg/150px-Marco_di_bello.jpg' WHERE ID = 8
2024-07-21 18:18:15.628 | ERROR    | Search:search_referee:line:93 | Lack of referee_image_url for ID: '9'
2024-07-21 18:18:18.506 | INFO     | Search:search_referee:line:106 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Luca_Banti'WHERE ID = 9
2024-07-21 18:18:21.964 | ERROR    | Search:search_referee:line:93 | Lack of referee_image_url for ID: '10'
2024-07-21 18:18:25.081 | INFO     | Search:search_referee:line:106 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Massimiliano_Irrati'WHERE ID = 10
2024-07-21 18:18:35.897 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/List_of_FIFA_international_referees', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Fifa_2022_badge.jpg/120px-Fifa_2022_badge.jpg' WHERE ID = 13
2024-07-21 18:18:39.134 | ERROR    | Search:search_referee:line:93 | Lack of referee_image_url for ID: '14'
2024-07-21 18:18:42.717 | INFO     | Search:search_referee:line:106 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Paolo_Valeri'WHERE ID = 14
2024-07-21 18:18:51.315 | INFO     | Search:search_referee:line:89 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Marco_Guida', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Marco_Guida_2020.jpg/180px-Marco_Guida_2020.jpg' WHERE ID = 16
2024-07-21 18:18:53.674 | ERROR    | Search:search_referee:line:93 | Lack of referee_image_url for ID: '17'
2024-07-21 18:18:56.792 | INFO     | Search:search_referee:line:106 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Fabrizio_Pasqua'WHERE ID = 17
2024-07-21 18:19:07.121 | ERROR    | Search:search_referee:line:93 | Lack of referee_image_url for ID: '19'
2024-07-21 18:19:11.039 | INFO     | Search:search_referee:line:106 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Davide_Massa'WHERE ID = 19
2024-07-21 18:19:20.912 | ERROR    | Search:search_referee:line:93 | Lack of referee_image_url for ID: '21'
