2024-08-15 05:53:52.462 | ERROR    | DetailSpider:run:line:223 | Page id "miguel lopez" does not match any pages. Try another id!
2024-08-15 05:54:31.750 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/8/83/Mads_D%C3%B8hr_Thychosen_%28AIK%2C_2023%2C_cropped%29.jpg"]' WHERE ID = 2364
2024-08-15 05:54:33.157 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 2365
2024-08-15 05:54:34.547 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 2366
2024-08-15 05:54:35.958 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/b/bd/Soccerball_Denmark.svg"]' WHERE ID = 2367
2024-08-15 05:54:37.591 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg", "https://upload.wikimedia.org/wikipedia/en/4/4e/Soccerball_mask.svg"]' WHERE ID = 2368
2024-08-15 05:54:39.139 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/b/be/Hammarby_IF_-_Mj%C3%A4llby_AIF_20210417_David_Ousted.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg"]' WHERE ID = 2369
2024-08-15 05:54:40.951 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg", "https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg", "https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg", "https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg", "https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg", "https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg", "https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg", "https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg", "https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg", "https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg", "https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg", "https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg", "https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg", "https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg", "https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg", "https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg", "https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg", "https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg", "https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg", "https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg", "https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg", "https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg", "https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg", "https://upload.wikimedia.org/wikipedia/commons/8/89/Injury_icon.svg", "https://upload.wikimedia.org/wikipedia/commons/8/83/Kit_body.svg", "https://upload.wikimedia.org/wikipedia/commons/c/cf/Kit_body_midtjylland2324a.png", "https://upload.wikimedia.org/wikipedia/commons/1/1e/Kit_body_midtjylland2324h.png", "https://upload.wikimedia.org/wikipedia/commons/7/7f/Kit_left_arm.svg", "https://upload.wikimedia.org/wikipedia/commons/7/74/Kit_left_arm_midtjylland2324a.png", "https://upload.wikimedia.org/wikipedia/commons/3/32/Kit_left_arm_midtjylland2324h.png", "https://upload.wikimedia.org/wikipedia/commons/c/cd/Kit_right_arm.svg", "https://upload.wikimedia.org/wikipedia/commons/c/cc/Kit_right_arm_midtjylland2324a.png", "https://upload.wikimedia.org/wikipedia/commons/b/b0/Kit_right_arm_midtjylland2324h.png", "https://upload.wikimedia.org/wikipedia/commons/a/af/Kit_shorts.svg", "https://upload.wikimedia.org/wikipedia/commons/1/19/Kit_shorts_shorts.png", "https://upload.wikimedia.org/wikipedia/commons/9/9b/Kit_socks_long.svg", "https://upload.wikimedia.org/wikipedia/commons/7/7c/Kit_socks_socks.png", "https://upload.wikimedia.org/wikipedia/commons/e/e7/Red_card.svg", "https://upload.wikimedia.org/wikipedia/commons/5/51/Soccerball_shade.svg", "https://upload.wikimedia.org/wikipedia/commons/0/0f/Soccerball_shade_cross.svg", "https://upload.wikimedia.org/wikipedia/commons/1/19/Yellow-red_card.svg", "https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg", "https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg", "https://upload.wikimedia.org/wikipedia/en/b/be/Flag_of_England.svg", "https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg", "https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg", "https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg", "https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg", "https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg", "https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg", "https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg"]' WHERE ID = 2370
2024-08-15 05:54:42.564 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg", "https://upload.wikimedia.org/wikipedia/commons/7/76/Marko_ivanic.jpg"]' WHERE ID = 2371
2024-08-15 05:54:44.107 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/1/1e/Aleksandar_Pe%C5%A1i%C4%87_01.jpg", "https://upload.wikimedia.org/wikipedia/commons/a/ac/CSKA-CZ_%281%29.jpg"]' WHERE ID = 2372
2024-08-15 05:54:45.636 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg", "https://upload.wikimedia.org/wikipedia/commons/1/15/Zen-CZ_%283%29_%28cropped%29.jpg"]' WHERE ID = 2373
2024-08-15 05:54:47.061 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 2374
2024-08-15 05:54:48.517 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/c/cc/Barak_Bakhar.jpeg", "https://upload.wikimedia.org/wikipedia/commons/b/bd/FC_Zenit_Saint_Petersburg_vs._Red_Star_Belgrade%2C_4_July_2023_%287%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg", "https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg", "https://upload.wikimedia.org/wikipedia/en/6/69/P_vip.svg", "https://upload.wikimedia.org/wikipedia/en/e/ec/Soccer_ball.svg"]' WHERE ID = 2375
2024-08-15 05:54:49.994 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/6/6d/GAE_-_NEC_-_53493621503_%28Tjaronn_Chery%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/c/c3/Tjaronn_Chery.jpg", "https://upload.wikimedia.org/wikipedia/commons/4/43/Tjaronn_Chery_%28ADO%29.jpg"]' WHERE ID = 2376
2024-08-15 05:54:50.711 | ERROR    | DetailSpider:run:line:222 | 2377
2024-08-15 05:54:50.711 | ERROR    | DetailSpider:run:line:223 | Page id "josh cohen soccer" does not match any pages. Try another id!
2024-08-15 05:54:52.249 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 2378
2024-08-15 05:54:53.677 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/f/f7/Dean_Cox_2018.1.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg"]' WHERE ID = 2379
2024-08-15 05:54:55.163 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg", "https://upload.wikimedia.org/wikipedia/commons/a/ab/Sean_Goldberg.JPG", "https://upload.wikimedia.org/wikipedia/commons/8/8b/Sean_Goldberg_-_%D7%A9%D7%95%D7%9F_%D7%92%D7%95%D7%9C%D7%93%D7%91%D7%A8%D7%92_%28cropped%29.jpg"]' WHERE ID = 2380
2024-08-15 05:54:56.597 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/0/06/Dolev_Haziza_2020.jpg", "https://upload.wikimedia.org/wikipedia/commons/5/56/%D7%93%D7%95%D7%9C%D7%91_%D7%97%D7%96%D7%99%D7%96%D7%94_-_Dolev_Haziza.jpg"]' WHERE ID = 2381
2024-08-15 05:54:58.863 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/f/fa/Neta_Lavi_-_27_January_2016.JPG", "https://upload.wikimedia.org/wikipedia/commons/archive/f/fa/20160531124050%21Neta_Lavi_-_27_January_2016.JPG"]' WHERE ID = 2382
2024-08-15 05:54:59.558 | ERROR    | DetailSpider:run:line:222 | 2383
2024-08-15 05:54:59.558 | ERROR    | DetailSpider:run:line:223 | Page id "ali mohamed footballer" does not match any pages. Try another id!
2024-08-15 05:55:01.039 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg", "https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg", "https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg", "https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_Cura%C3%A7ao.svg", "https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg", "https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg", "https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg", "https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Montserrat.svg", "https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg", "https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg", "https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg", "https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Sint_Maarten.svg", "https://upload.wikimedia.org/wikipedia/en/4/4e/Soccerball_mask.svg"]' WHERE ID = 2384
2024-08-15 05:55:02.445 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/9/9d/Bogdan_Planic.jpg"]' WHERE ID = 2385
2024-08-15 05:55:04.637 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/6/6b/Daniel_Sundgren_%28training_2016%2C_1%2C_cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/archive/6/6b/20170331110206%21Daniel_Sundgren_%28training_2016%2C_1%2C_cropped%29.jpg"]' WHERE ID = 2386
2024-08-15 05:55:06.188 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg", "https://upload.wikimedia.org/wikipedia/commons/f/f8/Omer_Atzili.JPG", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg", "https://upload.wikimedia.org/wikipedia/en/6/69/P_vip.svg", "https://upload.wikimedia.org/wikipedia/en/e/ec/Soccer_ball.svg"]' WHERE ID = 2387
