2024-07-24 10:56:19.607 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Emirates_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/London_Emirates_Stadium_arsenal.jpg/150px-London_Emirates_Stadium_arsenal.jpg' WHERE ID = 29
2024-07-24 10:56:22.400 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Anfield', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg/150px-Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg' WHERE ID = 30
2024-07-24 10:56:29.109 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Brentford_Community_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Brentford_Community_Stadium_2020.jpg/150px-Brentford_Community_Stadium_2020.jpg' WHERE ID = 32
2024-07-24 10:56:31.723 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Villa_Park', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Birmingham_aston_villa_park_stadium.jpg/150px-Birmingham_aston_villa_park_stadium.jpg' WHERE ID = 33
2024-07-24 10:56:33.835 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Vicarage_Road', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Vicarage_Road_2015.jpg/180px-Vicarage_Road_2015.jpg' WHERE ID = 34
2024-07-24 10:56:36.605 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Selhurst_Park', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/London_Selhurst_Park_crystal_palace_stadium_aerialview.JPG/150px-London_Selhurst_Park_crystal_palace_stadium_aerialview.JPG' WHERE ID = 35
2024-07-24 10:56:40.473 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Ciro_Vigorito', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Benevento_BN%2C_Italy_-_panoramio_-_RobyP_%289%29.jpg/120px-Benevento_BN%2C_Italy_-_panoramio_-_RobyP_%289%29.jpg' WHERE ID = 36
2024-07-24 10:56:43.794 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Alberto_Picco', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Stadio_Alberto_Picco_La_Spezia.jpg/120px-Stadio_Alberto_Picco_La_Spezia.jpg' WHERE ID = 37
2024-07-24 10:56:47.078 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Marcantonio_Bentegodi', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Italy_-_Verona_-_Stadio_Marcantonio_Bentegodi.jpg/150px-Italy_-_Verona_-_Stadio_Marcantonio_Bentegodi.jpg' WHERE ID = 38
2024-07-24 10:56:53.133 | ERROR    | Search:search_venue:line:189 | Lack of venue_image_url for ID: '40'
2024-07-24 10:56:57.651 | ERROR    | Search:search_venue:line:204 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-24 10:56:57.652 | ERROR    | Search:search_venue:line:205 | Error ID: '40'
2024-07-24 10:57:00.420 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Molineux_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/MolineuxStadium2022.jpg/150px-MolineuxStadium2022.jpg' WHERE ID = 41
2024-07-24 10:57:03.637 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Bramall_Lane', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Sheffield_united_bramall_lane_stadium.jpg/150px-Sheffield_united_bramall_lane_stadium.jpg' WHERE ID = 42
2024-07-24 10:57:11.318 | ERROR    | Search:search_venue:line:189 | Lack of venue_image_url for ID: '44'
2024-07-24 10:57:14.874 | ERROR    | Search:search_venue:line:204 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-24 10:57:14.874 | ERROR    | Search:search_venue:line:205 | Error ID: '44'
2024-07-24 10:57:18.218 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Vazgen_Sargsyan_Republican_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Armenia_vs_Portugal%2C_13_June_2015%2C_V._Sargsyan_Rep._Stad._Yerevan_%2812%29.jpg/180px-Armenia_vs_Portugal%2C_13_June_2015%2C_V._Sargsyan_Rep._Stad._Yerevan_%2812%29.jpg' WHERE ID = 45
2024-07-24 10:57:22.350 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Red_Bull_Arena_(Leipzig)', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/150px-Leipzig_stadium.jpg' WHERE ID = 46
2024-07-24 10:57:28.659 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Tofiq_Bahramov_Republican_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/National_Stadium_named_after_Tofig_Bahramov_after_major_overhaul_and_reconstruction.jpg/150px-National_Stadium_named_after_Tofig_Bahramov_after_major_overhaul_and_reconstruction.jpg' WHERE ID = 48
2024-07-24 10:57:31.242 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Allianz_Arena', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Allianz_Arena_2008-02-09.jpg/180px-Allianz_Arena_2008-02-09.jpg' WHERE ID = 49
2024-07-24 10:57:33.938 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Doosan_Arena', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Doosan_Arena_Plze%C5%881.jpg/180px-Doosan_Arena_Plze%C5%881.jpg' WHERE ID = 50
2024-07-24 10:57:42.662 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/BayArena', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Bayarena_Leverkusen_2020.jpg/180px-Bayarena_Leverkusen_2020.jpg' WHERE ID = 53
2024-07-24 10:57:45.960 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadion_Maksimir', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stadion_Maksimir_panoramics_13-07-2011.jpg/250px-Stadion_Maksimir_panoramics_13-07-2011.jpg' WHERE ID = 54
2024-07-24 10:57:52.288 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Aspmyra_Stadion', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Aspmyra_stadion.jpg/120px-Aspmyra_stadion.jpg' WHERE ID = 56
2024-07-24 10:57:55.166 | ERROR    | Search:search_venue:line:189 | Lack of venue_image_url for ID: '57'
2024-07-24 10:57:58.877 | ERROR    | Search:search_venue:line:204 | Error Occured: 'NoneType' object has no attribute 'find'
2024-07-24 10:57:58.878 | ERROR    | Search:search_venue:line:205 | Error ID: '57'
2024-07-24 10:58:02.359 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Red_Star_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Fk_Red_Star_stadium.jpg/150px-Fk_Red_Star_stadium.jpg' WHERE ID = 58
2024-07-24 10:58:10.638 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Jan_Breydel_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Panoramio_-_V%26A_Dudush_-_Jan_Breydel_Stadion.jpg/150px-Panoramio_-_V%26A_Dudush_-_Jan_Breydel_Stadion.jpg' WHERE ID = 61
2024-07-24 10:58:13.968 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Parc_des_Princes', venue_image_url = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Paris_Le_Parc_des_Princes_%28cropped%29.jpg/180px-Paris_Le_Parc_des_Princes_%28cropped%29.jpg' WHERE ID = 62
2024-07-24 10:58:16.760 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Celtic_Park', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Celtic_Park_from_the_air_%28geograph_7132554%29.jpg/120px-Celtic_Park_from_the_air_%28geograph_7132554%29.jpg' WHERE ID = 63
2024-07-24 10:58:19.988 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Westfalenstadion', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Westfalenstadion_Dortmund.jpg/180px-Westfalenstadion_Dortmund.jpg' WHERE ID = 64
2024-07-24 10:58:23.082 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Red_Bull_Arena_(New_Jersey)', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Red_Bull_Arena_Harrison_behind_goal.jpg/150px-Red_Bull_Arena_Harrison_behind_goal.jpg' WHERE ID = 65
2024-07-24 10:58:25.746 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Ibrox_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Ibrox_Stadium%2C_Rangers_FC_%28cropped%29.jpg/150px-Ibrox_Stadium%2C_Rangers_FC_%28cropped%29.jpg' WHERE ID = 66
2024-07-24 10:58:29.162 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Philips_Stadion', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Psv_stadion_2019.jpg/250px-Psv_stadion_2019.jpg' WHERE ID = 67
2024-07-24 10:58:32.989 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Waldstadion_(Frankfurt)', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Waldstadion_Frankfurt.jpg/150px-Waldstadion_Frankfurt.jpg' WHERE ID = 68
2024-07-24 10:58:36.111 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Johan_Cruyff_Arena', venue_image_url = 'https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Johan_Cruijff_ArenA_logo.png/200px-Johan_Cruijff_ArenA_logo.png' WHERE ID = 69
2024-07-24 10:58:42.272 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Polish_Army_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Legia_Warsaw_Stadium_aerial_2022.jpg/150px-Legia_Warsaw_Stadium_aerial_2022.jpg' WHERE ID = 71
