2024-08-14 17:39:18.255 | ERROR    | DetailSpider:run:line:223 | Page id "javier pastors" does not match any pages. Try another id!
2024-08-14 17:39:20.652 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/2/2a/Diego_Perotti.jpg", "https://upload.wikimedia.org/wikipedia/commons/2/24/Rus-Arg_2017_%285%29.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg"]' WHERE ID = 19
2024-08-14 17:40:15.369 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20220806010204%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20220516190600%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200224200125%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200224185417%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200222180316%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200220142754%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200219191950%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200207131926%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200207084812%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200206221431%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200205193334%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200204022008%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200202184949%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200129030222%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200129025248%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200127100052%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20200114120116%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20191215165221%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20191211165829%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20181128120213%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20181128070608%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20181127165017%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180914200056%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180914191120%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180908212916%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180908154814%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180907223250%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180907161601%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180907161449%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180907122026%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180907011453%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180906210811%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180906150029%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180906085546%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180905221748%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180905221142%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180905165814%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180905123907%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180703192725%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180703191631%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180703132759%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180703131927%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180703123537%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180701182750%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20180630130040%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20121229210431%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20121229193719%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20120912053246%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20120627234413%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20110920011521%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20110325140445%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20110325140131%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20100223065732%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20090621011356%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20081224101331%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20081109112720%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20081104235248%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20081104171900%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20080505203726%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20080206105259%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20080204194938%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20080204093607%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20080204003733%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20080203225146%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20080202032852%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20070226033830%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20070215231433%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20060926153359%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20051220053512%21Flag_of_Slovenia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/f/f0/20051220052603%21Flag_of_Slovenia.svg"]' WHERE ID = 20
2024-08-14 17:40:16.841 | ERROR    | DetailSpider:run:line:222 | 21
2024-08-14 17:40:16.842 | ERROR    | DetailSpider:run:line:223 | Page id "daniel fugate" does not match any pages. Try another id!
2024-08-14 17:40:19.048 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/5/50/Ivan_Marcano_2013.jpg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 22
2024-08-14 17:40:21.435 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/f/fa/AntonioMirante.png", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 23
2024-08-14 17:40:23.729 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/0/0d/UEFA_Youth_League_FC_Salzburg_gegen_AS_Roma_11_%28cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg"]' WHERE ID = 24
2024-08-14 17:40:25.938 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg", "https://upload.wikimedia.org/wikipedia/en/4/4e/Soccerball_mask.svg"]' WHERE ID = 25
2024-08-14 17:40:28.221 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/a/a8/Luciano_Spalletti.JPG", "https://upload.wikimedia.org/wikipedia/commons/d/d4/Luciano_Spalletti_2012.jpg", "https://upload.wikimedia.org/wikipedia/commons/0/0d/Luciano_Spalletti_2024.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 26
