2024-07-21 18:33:54.003 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3939'
2024-07-21 18:33:56.616 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Yvandro_Borges_Sanches'WHERE ID = 3939
2024-07-21 18:33:59.746 | INFO     | Search:search_player:line:42 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach_II', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/150px-Borussia_M%C3%B6nchengladbach_logo.svg.png' WHERE ID = 3940
2024-07-21 18:34:04.046 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3943'
2024-07-21 18:34:08.165 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Rocco_Reitz'WHERE ID = 3943
2024-07-21 18:34:14.041 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3944'
2024-07-21 18:34:18.092 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Marco_Pa%C5%A1ali%C4%87'WHERE ID = 3944
2024-07-21 18:34:22.316 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3948'
2024-07-21 18:34:26.285 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Derry_Scherhant'WHERE ID = 3948
2024-07-21 18:34:29.614 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3949'
2024-07-21 18:34:33.494 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Pascal_Klemens'WHERE ID = 3949
2024-07-21 18:34:38.744 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3951'
2024-07-21 18:34:42.634 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Vincenzo_Grifo'WHERE ID = 3951
2024-07-21 18:34:45.851 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3958'
2024-07-21 18:34:51.058 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Manuel_Gulde'WHERE ID = 3958
2024-07-21 18:34:56.263 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3962'
2024-07-21 18:35:03.172 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Daniel-Kofi_Kyereh'WHERE ID = 3962
2024-07-21 18:35:08.528 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3963'
2024-07-21 18:35:14.382 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Kiliann_Sildillia'WHERE ID = 3963
